id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,"uplifting,bright"
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,"nostalgic,cozy"
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2020s,"aggressive,driving"
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020s,"peaceful,cozy"
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,"driving,euphoric"
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2020s,"dreamy,ethereal"
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,48,2010s,"warm,nostalgic"
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,62,2020s,"cinematic,moody"
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020s,"focused,minimal"
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,58,2020s,"uplifting,breezy"
11,Electric Dreams,Synthia,electronic,energetic,0.88,140,0.72,0.85,0.08,80,2020s,"euphoric,driving"
12,Rainy Pages,Ink Cloud,folk,melancholy,0.30,68,0.38,0.35,0.93,35,2010s,"nostalgic,gentle"
13,Bass Cathedral,SubWave,electronic,intense,0.95,150,0.42,0.78,0.04,75,2020s,"aggressive,heavy"
14,Sunday Morning Tea,Velvet Haze,jazz,relaxed,0.25,72,0.75,0.40,0.91,42,2020s,"warm,peaceful"
15,Neon Highways,Voltline,rock,energetic,0.87,145,0.55,0.70,0.12,68,2020s,"driving,powerful"
16,Cloud Lullaby,Paper Lanterns,ambient,chill,0.20,55,0.68,0.30,0.95,30,2020s,"ethereal,dreamy"
17,Downtown Bounce,Max Pulse,hip-hop,happy,0.85,105,0.80,0.90,0.10,82,2020s,"uplifting,groovy"
18,Autumn Waltz,Slow Stereo,classical,melancholy,0.22,65,0.45,0.28,0.97,25,2010s,"nostalgic,gentle"
